trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
123,False,"{'a': 0.5, 'e': 0.29048849430996376}",25,0,-58.43826303791855,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
124,False,"{'a': 0.5, 'e': 0.2875836093668641}",20,5,-21.037985899680606,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.28470777327319546}",35,22,7.437192094481004,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.2818606955404635}",30,0,-5.7093406925711605,"{0: 26, 1: 0, 2: 4, 3: 0, 4: 0}",0
127,False,"{'a': 0.5, 'e': 0.27904208858505886}",30,0,22.76781695954379,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
128,False,"{'a': 0.5, 'e': 0.2762516676992083}",25,0,-10.445447220147999,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
129,False,"{'a': 0.5, 'e': 0.2734891510222162}",20,0,-1.5712830213608306,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
130,False,"{'a': 0.5, 'e': 0.27075425951199406}",25,5,16.010604588202924,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.2680467169168741}",25,0,13.531003023966257,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
132,False,"{'a': 0.5, 'e': 0.26536624974770534}",20,6,18.84935203737792,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.2627125872502283}",20,6,-97.18500198151354,"{0: 9, 1: 2, 2: 0, 3: 1, 4: 2}",1
134,False,"{'a': 0.5, 'e': 0.26008546137772603}",25,0,-12.677113821037366,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
135,False,"{'a': 0.5, 'e': 0.25748460676394874}",20,0,-28.85851183201439,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
136,False,"{'a': 0.5, 'e': 0.2549097606963093}",25,0,-31.59457949539041,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
